Feature ID	2M-Total	4M-Total	6m-Total	2M-HS-Total	4M-HS-Total	6M-HS-Total
CGI_10000375	6	1	3	6	1	0
CGI_10000376	0	1	0	0	0	0
CGI_10000377	29	16	30	32	32	14
CGI_10000378	1	1	6	6	16	19
CGI_10000379	6	1	0	4	1	0
CGI_10000380	49	15	24	91	38	34
CGI_10000381	810	725	492	443	180	118
CGI_10000383	1	0	0	0	0	0
CGI_10000384	14585	11049	14487	11707	12417	11809
CGI_10000388	38	27	13	55	47	35
CGI_10000389	884	307	1431	467	619	594
CGI_10000390	8	6	0	4	2	0
CGI_10000391	12	14	12	32	18	13
CGI_10000392	11	4	4	10	0	3
CGI_10000393	42	10	23	80	13	9
CGI_10000394	14	2	9	10	0	9
CGI_10000395	0	4	0	0	4	1
CGI_10000396	39	0	0	44	0	0
CGI_10000397	0	0	0	0	0	0
CGI_10000398	0	0	0	0	0	0
CGI_10000399	0	0	0	0	0	0
CGI_10000400	0	0	1	1	0	1
CGI_10000401	3	1	3	3	1	0
CGI_10000402	623	476	553	3547	1983	414
CGI_10000403	0	0	0	1	0	0
CGI_10000404	12	7	3	12	4	1
CGI_10000405	283	92	136	107	24	39
CGI_10000406	23	10	11	5	13	6
CGI_10000407	1	0	0	2	1	0
CGI_10000408	61	94	35	225	388	329
CGI_10000409	0	0	0	0	0	0
CGI_10000410	1	0	0	0	0	0
CGI_10000411	1	2	0	1	0	1
CGI_10000412	444	178	156	143	62	141
CGI_10000413	960	457	374	365	111	206
CGI_10000414	6	6	0	2	0	0
CGI_10000415	5	13	3	1	1	0
CGI_10000416	2	0	2	2	1	2
CGI_10000417	64	33	31	102	57	48
CGI_10000418	372	150	172	328	33	16
CGI_10000419	0	1	2	0	2	0
CGI_10000420	0	1	1	0	0	3
CGI_10000421	5	1	3	3	9	1
CGI_10000422	5	2	9	6	4	6
CGI_10000423	11	1	4	10	3	1
CGI_10000424	5	2	8	3	3	13
CGI_10000425	133	160	107	218	112	63
CGI_10000426	545	247	232	852	184	207
CGI_10000427	72	42	62	92	35	41
CGI_10000428	46	36	34	74	23	21
CGI_10000429	0	0	0	0	0	0
CGI_10000430	329	48	31	141	1	1
CGI_10000433	67	32	32	50	21	18
CGI_10000434	70	74	106	234	71	67
CGI_10000436	94	126	67	53	38	25
CGI_10000437	52	30	40	82	28	19
CGI_10000438	2	1	4	5	6	2
CGI_10000439	0	0	0	0	0	0
CGI_10000440	69	67	30	28	26	13
CGI_10000441	2059	1890	1924	2835	1073	2353
CGI_10000443	1	0	0	2	0	0
CGI_10000444	0	2	8	0	1	1
CGI_10000445	1	2	2	4	0	1
CGI_10000446	3	0	4	1	1	0
CGI_10000449	0	0	0	0	0	0
CGI_10000452	369	581	411	201	331	117
CGI_10000453	0	0	1	0	0	0
CGI_10000454	0	3	2	3	0	1
CGI_10000455	75	27	60	26	24	5
CGI_10000456	38	13	8	48	26	5
CGI_10000457	8	3	3	11	14	11
CGI_10000460	266	155	163	318	129	108
CGI_10000462	57	61	38	26	10	22
CGI_10000463	0	0	3	0	0	1
CGI_10000464	23	0	0	33	0	0
CGI_10000465	4	1	2	0	0	0
CGI_10000466	346	275	214	233	80	67
CGI_10000467	3	0	2	2	0	0
CGI_10000468	1	3	1	7	1	0
CGI_10000469	0	0	0	0	0	0
CGI_10000470	0	0	0	0	0	0
CGI_10000471	0	0	0	0	0	0
CGI_10000472	926	561	1015	711	539	628
CGI_10000473	15	16	26	7	10	0
CGI_10000474	1	10	3	1	11	3
CGI_10000475	40	6	14	9	5	4
CGI_10000476	90	25	36	53	12	55
CGI_10000477	43	45	32	98	20	8
CGI_10000478	0	1	2	4	38	4
CGI_10000482	8	2	4	11	2	2
CGI_10000483	0	1	0	1	1	0
CGI_10000484	0	0	1	0	0	4
CGI_10000485	60	67	39	54	47	16
CGI_10000486	563	303	271	856	285	281
CGI_10000487	93	112	85	135	20	16
CGI_10000488	42	43	15	23	10	3
CGI_10000490	0	0	0	0	0	0
CGI_10000491	3	3	2	2	2	0
CGI_10000492	0	1	0	26	563	147
CGI_10000493	1	2	2	0	0	0
CGI_10000494	13	50	7	8	14	0
CGI_10000495	0	0	0	0	0	0
CGI_10000496	106	71	60	187	67	47
CGI_10000497	5	3	7	0	1	10
CGI_10000498	0	0	0	0	0	0
CGI_10000499	0	0	0	0	0	0
CGI_10000500	30	93	44	45	63	21
CGI_10000501	25	7	8	27	6	20
CGI_10000502	60	186	35	40	47	17
CGI_10000503	1	1	1	0	0	0
CGI_10000504	40	38	34	25	22	5
CGI_10000505	0	0	0	0	0	0
CGI_10000506	6	4	1	5	1	1
CGI_10000507	5	8	0	5	4	4
CGI_10000508	23	9	29	9	2	2
CGI_10000509	1063	767	578	767	475	230
CGI_10000510	0	3	0	0	0	0
CGI_10000511	14	4	0	72	0	0
CGI_10000512	1	0	0	0	2	0
CGI_10000513	903	860	1147	3319	4173	6092
CGI_10000514	220	190	245	733	767	1281
CGI_10000515	111	60	131	322	343	467
CGI_10000516	112	75	124	203	236	678
CGI_10000517	173	163	171	241	284	623
CGI_10000518	236	238	133	253	303	101
CGI_10000519	2	0	0	12	4	7
CGI_10000520	132	72	53	126	30	17
CGI_10000521	21	8	6	24	24	10
CGI_10000522	28	17	14	34	9	10
CGI_10000523	1	10	13	21	7	28
CGI_10000524	12	7	16	10	4	7
CGI_10000525	7	17	13	8	4	9
CGI_10000526	127	124	80	60	107	16
CGI_10000527	6	2	7	0	0	0
CGI_10000528	0	0	0	0	0	0
CGI_10000529	0	0	0	0	0	0
CGI_10000532	0	0	0	0	0	0
CGI_10000533	586	261	409	378	129	61
CGI_10000534	62	37	39	39	86	63
CGI_10000535	9	20	7	20	20	9
CGI_10000536	637	724	428	339	160	94
CGI_10000537	182	92	172	250	51	89
CGI_10000538	0	0	0	0	0	0
CGI_10000539	0	0	0	0	0	0
CGI_10000540	15	23	14	28	21	6
CGI_10000541	127	115	82	116	79	44
CGI_10000542	18	18	33	29	9	4
CGI_10000543	0	1	0	0	0	0
CGI_10000544	21	27	17	47	102	29
CGI_10000545	0	4	2	0	11	1
CGI_10000546	0	0	0	0	0	0
CGI_10000547	0	3	0	2	0	0
CGI_10000548	17	17	13	2	8	0
CGI_10000551	13	5	1	3	9	0
CGI_10000552	84	66	66	82	38	26
CGI_10000553	157	300	433	76	63	82
CGI_10000554	1	2	0	0	2	0
CGI_10000555	83	100	109	31	26	4
CGI_10000556	40	19	14	19	14	0
CGI_10000557	4	4	1	62	6	5
CGI_10000558	0	38	11	0	24	4
CGI_10000559	5	3	2	1	1	14
CGI_10000560	44	16	84	14	7	8
CGI_10000561	181	210	132	207	196	74
CGI_10000562	4	1	19	0	0	1
CGI_10000563	1	3	8	7	0	3
CGI_10000571	19	13	11	16	0	6
CGI_10000572	0	3	12	0	7	15
CGI_10000573	3598	3199	4539	2722	5861	4347
CGI_10000575	3	2	0	7	9	6
CGI_10000576	5	26	68	13	11	9
CGI_10000577	80	63	93	162	71	81
CGI_10000578	2	5	1	3	4	9
CGI_10000579	34	71	27	52	31	22
CGI_10000580	87	54	53	225	61	78
CGI_10000581	858	466	495	526	136	67
CGI_10000582	25	15	8	17	17	12
CGI_10000585	18	11	6	74	21	18
CGI_10000587	81	72	55	79	59	35
CGI_10000588	99	78	28	122	8	15
CGI_10000589	26	13	15	17	15	8
CGI_10000590	44	17	20	117	37	37
CGI_10000591	1952	2121	856	1702	546	488
CGI_10000592	48	121	6	36	29	2
CGI_10000593	13	10	4	7	4	1
CGI_10000594	30	33	49	22	13	11
CGI_10000595	4576	3429	4826	3944	4818	4771
CGI_10000596	22	20	20	35	28	14
CGI_10000597	3	0	0	3	0	0
CGI_10000598	50	11	26	30	7	4
CGI_10000599	13	8	17	11	1	14
CGI_10000600	8	0	7	3	0	0
CGI_10000601	2	6	16	18	8	7
CGI_10000602	1196	551	710	1417	1498	856
CGI_10000603	87	179	48	114	80	19
CGI_10000604	14	12	11	22	5	0
CGI_10000605	188	128	120	254	119	90
CGI_10000606	55	39	76	140	42	82
CGI_10000607	1	0	0	1	0	3
CGI_10000608	1	0	1	1	0	0
CGI_10000609	376	400	191	447	63	46
CGI_10000610	99	74	131	42	17	21
CGI_10000611	436	261	200	708	270	216
CGI_10000612	20	14	15	24	26	23
CGI_10000613	48	33	77	116	36	52
CGI_10000614	6	21	3	8	8	9
CGI_10000615	353	281	286	288	273	135
CGI_10000616	74	40	29	81	13	18
CGI_10000618	309	272	206	522	346	230
CGI_10000619	117	100	52	192	88	37
CGI_10000623	8	15	12	10	13	2
CGI_10000624	0	4	0	4	0	7
CGI_10000625	14	20	18	10	7	3
CGI_10000626	26	10	17	30	8	22
CGI_10000627	124	137	95	63	19	22
CGI_10000628	0	0	2	1	0	0
CGI_10000629	5	3	3	1	1	1
CGI_10000630	9	5	5	13	20	4
CGI_10000631	101	191	75	158	202	135
CGI_10000633	341	314	206	308	46	57
CGI_10000634	33	9	4	77	11	26
CGI_10000635	97	57	30	200	72	39
CGI_10000636	3	0	6	0	2	1
CGI_10000637	684	555	810	458	441	466
CGI_10000639	32	24	4	31	14	8
CGI_10000640	17	14	21	14	10	7
CGI_10000641	3	7	0	3	1	3
CGI_10000642	9	9	3	12	0	0
CGI_10000643	4	6	6	3	3	2
CGI_10000644	4	24	13	9	55	16
CGI_10000645	121	203	100	98	194	46
CGI_10000646	116	230	100	211	147	34
CGI_10000647	4	2	1	0	2	0
CGI_10000648	0	0	0	0	0	0
CGI_10000649	266	197	193	178	116	43
CGI_10000654	0	0	0	0	0	0
CGI_10000655	0	1	5	1	0	7
CGI_10000656	0	0	0	0	0	0
CGI_10000657	0	2	0	0	0	0
CGI_10000658	11	46	6	4	12	3
CGI_10000659	12	1	0	21	5	2
CGI_10000660	6	2	1	14	2	0
CGI_10000661	71	268	22	59	14	1
CGI_10000662	51	59	13	113	43	5
CGI_10000663	19	7	1	46	1	0
CGI_10000664	0	0	0	0	0	0
CGI_10000665	19	2	0	12	0	0
CGI_10000667	282	108	286	109	18	47
CGI_10000668	19	4	5	10	1	0
CGI_10000669	1599	1728	1464	795	565	470
CGI_10000670	2	5	0	12	3	8
CGI_10000671	47	61	32	195	18	27
CGI_10000672	1	0	3	2	8	3
CGI_10000673	26	0	9	58	0	4
CGI_10000674	6	2	4	2	2	10
CGI_10000675	49	32	21	77	22	15
CGI_10000676	8	22	6	11	8	6
CGI_10000677	27	47	22	37	33	76
CGI_10000678	1	1	0	0	0	0
CGI_10000679	0	0	0	0	0	0
CGI_10000680	4	2	2	9	1	0
CGI_10000681	22	13	4	51	10	19
CGI_10000682	46	10	5	63	37	20
CGI_10000683	123	37	46	217	77	64
CGI_10000684	50	65	50	110	54	26
CGI_10000686	187	185	323	112	113	199
CGI_10000687	147	206	114	147	87	42
CGI_10000688	4	1	10	4	1	0
CGI_10000689	12	66	13	22	108	19
CGI_10000690	538	404	334	594	273	118
CGI_10000691	19	16	29	20	32	19
CGI_10000692	67	108	67	132	197	101
CGI_10000693	71	63	30	58	20	11
CGI_10000694	76	85	4	9	27	6
CGI_10000695	16	54	27	19	21	26
CGI_10000696	257	375	203	152	40	14
CGI_10000697	346	256	153	285	57	70
CGI_10000698	15	6	7	12	3	40
CGI_10000699	59	51	36	98	69	29
CGI_10000700	357	4	647	138	2	355
CGI_10000701	53	78	22	138	16	13
CGI_10000702	3	0	0	6	0	0
CGI_10000703	0	0	1	0	0	0
CGI_10000704	0	0	0	0	0	0
CGI_10000705	5	46	11	18	6	1
CGI_10000706	82	26	19	51	5	1
