"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CGI_10000183" 18.9133672230785 -1.8390597939789 0.590045653645067 -3.11680932249551 0.00182819776523803 0.0163109378995881
"CGI_10000185" 77.7955397603125 -4.80607290510738 0.744229822136564 -6.45778059700687 1.06249627863821e-10 1.55570019636737e-08
"CGI_10000187" 92.8885292370538 -1.31409953594243 0.492238971178113 -2.66963733651014 0.00759332128525029 0.045529835288971
"CGI_10000198" 19.581496273046 -1.94850476880635 0.685092358283595 -2.84414903369826 0.00445302139133565 0.0307410860764601
"CGI_10000203" 306.653792440567 -2.44804800218203 0.512020775534787 -4.78114974851388 1.74295464062793e-06 6.83479145901526e-05
"CGI_10000204" 887.830813429093 -2.44478834601404 0.58479415803104 -4.18059639009642 2.90745531210126e-05 0.000685555307097539
"CGI_10000205" 364.954359491479 -2.17777562557742 0.633775170547145 -3.43619587321057 0.000589944286987819 0.00709070984890731
"CGI_10000207" 351.019471656495 -2.12325770965199 0.641946587253515 -3.30753017744992 0.000941225702614067 0.0100404781766516
"CGI_10000208" 569.253259177864 -2.27627241418082 0.594713309039935 -3.82751214674425 0.000129444998034707 0.00219440091906455
"CGI_10000215" 46.751753047612 -1.76069478185782 0.429601733631196 -4.09843500158996 4.15953006817285e-05 0.000897983685109943
"CGI_10000238" 326.404102623063 -2.40027286546265 0.509178854637373 -4.71400735439432 2.4289189033656e-06 8.96330317266377e-05
"CGI_10000239" 359.727951201727 -2.13638154087977 0.612038856132379 -3.49059789174184 0.000481941017793369 0.00603040738735797
"CGI_10000253" 733.241918951578 -2.53508201668185 0.521124239554706 -4.86464037606089 1.14665102322573e-06 4.78588413280145e-05
"CGI_10000254" 142.218293618216 -2.38644957600993 0.554973996221964 -4.30011062185959 1.70712872991527e-05 0.000444049129231255
"CGI_10000272" 513.792360054532 1.49575922017534 0.342699824832056 4.36463374589804 1.2733592287717e-05 0.000350759633070011
"CGI_10000281" 221.107640822719 -0.987068778259219 0.300254399441749 -3.2874415165754 0.00101102186311167 0.0105494901992273
"CGI_10000285" 43.8632523453153 -1.48350433972553 0.512641353223629 -2.89384445947804 0.00380556623217159 0.0275274344666563
"CGI_10000286" 183.049885175931 2.23133900247472 0.568905771813006 3.92215919231022 8.77589759917557e-05 0.0016242119960309
"CGI_10000293" 186.164813949828 1.54627059523458 0.460639018673311 3.35679465384414 0.000788516517936026 0.00879379969265755
"CGI_10000300" 166.825532252415 1.85304166472354 0.524719566249258 3.53148954968318 0.000413226189792927 0.0053721407170669
"CGI_10000321" 522.4013442333 2.43538433879361 0.430455192424983 5.6576953458821 1.53419151793017e-08 1.24351701783662e-06
"CGI_10000334" 297.590233843385 1.34079750815601 0.38404186102213 3.49127958235455 0.000480712930222568 0.00602165734530797
"CGI_10000348" 22.3047358823829 -1.90248690770719 0.52055231963551 -3.6547467678932 0.000257435949094145 0.00374820135665862
"CGI_10000380" 40.9717259198286 -1.26163743677392 0.473754755762829 -2.66306020451965 0.00774335587078762 0.0461780597372604
"CGI_10000381" 396.049542612721 1.01412057386817 0.309708458565426 3.27443615381251 0.00105873060803286 0.0109031837319595
"CGI_10000388" 37.9806290449457 -1.32145304942356 0.482892611477539 -2.73653607037022 0.00620897876348195 0.0396379108402877
"CGI_10000402" 1207.15861590354 -1.95953458415906 0.462225263915078 -4.23934980870945 2.24168113049241e-05 0.000553760028322622
"CGI_10000408" 243.177409971667 -2.72373562827121 0.532178451484365 -5.11808702639895 3.08650187947109e-07 1.614943173593e-05
"CGI_10000417" 56.2279135354197 -1.1695909173861 0.402969313658649 -2.90243171810558 0.00370277870451185 0.0269882176471767
"CGI_10000492" 177.98071665007 -2.99884677465191 0.814488502112953 -3.68187735845538 0.000231522784736293 0.00344768422066044
"CGI_10000513" 3651.55580617634 -2.66918169071132 0.521812109774113 -5.11521607244183 3.13382011596056e-07 1.63498959843046e-05
