baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Column7
CGI_10004515,117.110077750599,-1.3513951142962,0.310945040046264,-4.34608995240808,1.38585754884837E-05,0.000335615502359997
CGI_10004519,172.880088514473,-2.04281173332014,0.459380345752514,-4.44688535808775,8.71243034781092E-06,0.000226122346510167
CGI_10004524,76.6151486162543,2.263123663687,0.445020105245035,5.08544139245324,3.66772079509402E-07,1.66698779265174E-05
CGI_10004540,186.180804840737,-1.34601744607868,0.294737697900056,-4.56683164613407,4.95151370846371E-06,0.000140905093365481
CGI_10004543,18.8765363314773,-1.43515613809545,0.536208688884986,-2.67648803132932,0.00743982229822039,0.0419940528781245
CGI_10004583,483.288118071813,1.18084037534129,0.365158295501372,3.23377666587025,0.00122164946504195,0.0110057476465498
CGI_10004589,527.793831898985,1.40469393444433,0.362577494632753,3.87418953254975,0.000106980131231228,0.00170989909751246
CGI_10004590,1140.24124455378,1.71977749311676,0.468888628162853,3.66777394421998,0.000244671350492489,0.00327024146511912
CGI_10004601,907.134998588331,1.65524183018976,0.446641839175708,3.70597128393651,0.000210582159385636,0.00293956755241376
CGI_10004605,21.1650289033782,1.64774630354091,0.551786158740765,2.986204487806,0.00282463692879371,0.0205214152629786
CGI_10004612,262.956137872281,1.8843681633103,0.340210396071987,5.53883180839534,3.04495895421448E-08,1.92746906738725E-06
CGI_10004620,61.9389057114962,1.4952985234704,0.501153833785426,2.98371163236602,0.00284775021195121,0.0206346237496125
CGI_10004635,174.754038264163,0.943188889509317,0.312998036647365,3.01340193571869,0.00258336517129514,0.0192050170486205
CGI_10004636,24.5653030000632,1.87826567858446,0.490985419231805,3.82550194977926,0.00013050590146502,0.00199768810063774
CGI_10004639,260.392624716913,2.07385577214099,0.47484050621324,4.36747864810351,1.25689079343936E-05,0.000309462970708176
CGI_10004649,52.9724328348116,1.43689372789616,0.415320199822935,3.45972511933867,0.000540727072545426,0.00594675759829201
CGI_10004652,2783.57130735991,1.14934095999102,0.311865866743286,3.68536952117657,0.000228371057205174,0.00311533206059405
CGI_10004661,65.7823682404639,-1.76871935296612,0.347571203842175,-5.08879715412,3.60341797488468E-07,1.64165217953179E-05
CGI_10004678,212.665188741538,-1.34612753034073,0.29373667963479,-4.58276961533847,4.58857499747795E-06,0.000132344163085154
CGI_10004703,823.249408002986,1.19634761109745,0.336662566778925,3.5535510304686,0.000380067452143336,0.00459947571857018
CGI_10004704,260.557089198621,1.52081970157701,0.558558198420496,2.72275960835884,0.0064739146238625,0.0380107454333512
CGI_10004710,339.176339591447,2.34262699710446,0.439742115277881,5.32727459052702,9.96973863750738E-08,5.43237463259635E-06
CGI_10004713,62.4258896326937,-1.02528770252225,0.34892934745394,-2.93838196759186,0.00329930260354919,0.0230436990522199
CGI_10004738,145.0382465577,0.912887993802012,0.298225148808581,3.06106979055599,0.00220547680432181,0.0170919127014816
CGI_10004741,54.9829960841859,-1.77975525434224,0.464696762147217,-3.8299282442136,0.000128180630905923,0.00196837830326309
CGI_10004745,113.740791923123,-1.18149888182402,0.428518367058313,-2.75717209027645,0.00583036580144518,0.0351987460093543
CGI_10004751,135.118666176344,-1.18230197071609,0.27910065307302,-4.23611323620503,2.27422119834065E-05,0.0004923201194602
CGI_10004760,479.167364899606,1.00359255422742,0.353386155007551,2.83993172909102,0.00451231897820634,0.0292188649567851
CGI_10004767,83.0266138768056,-0.897019885934618,0.325066712693396,-2.75949474648513,0.00578908179232587,0.0350598638385886
CGI_10004779,184.68219550124,1.45589719389436,0.333421913970897,4.36653121132716,1.26235256767777E-05,0.0003100118085539
CGI_10004780,100.748002333641,1.69112604770557,0.413649781206741,4.08830398210789,4.34538502098581E-05,0.000836329419730506
CGI_10004781,94.5764440044989,2.46775912450868,0.347411448951825,7.10327518553045,1.21834466365236E-12,2.36038895442953E-10
CGI_10004801,1027.9315832504,2.08149425140225,0.450140401879973,4.62410004236249,3.76228263789768E-06,0.000113595030351015
